,0
1360,Brad Holland
1361,Phil Hubbard
1362,Geoff Huston
1363,Abdul Jeelani
1364,Cheese Johnson
1365,Magic Johnson
1366,Vinnie Johnson
1367,Major Jones
1368,Greg Kelser
1369,Irv Kiffin
1370,Carl Kilpatrick
1371,Reggie King
1372,Arvid Kramer
1373,Allen Leavell
1374,Ollie Mack
1375,Steve Malovic
1376,Paul Mokeski
1377,Sidney Moncrief
1378,Calvin Natt
1379,Sylvester Norris
1380,Wiley Peck
1381,Sam Pellom
1382,Clint Richardson
1383,Cliff Robinson
1384,Jim Spanarkel
1385,Bernard Toone
1386,Duck Williams
1387,Sly Williams
1388,Bubba Wilson
1389,Tony Zeno
1390,Darrell Allums
1391,Norman Black
1392,Dave Britton
1393,Michael Brooks
1394,Lewis Brown
1395,Rickey Brown
1396,Joe Barry Carroll
1397,Butch Carter
1398,Reggie Carter
1399,Art Collins
1400,Don Collins
1401,Darwin Cook
1402,Earl Cureton
1403,Monti Davis
1404,James Donaldson
1405,Larry Drew
1406,Ralph Drollinger
1407,John Duren
1408,Tony Fuller
1409,Calvin Garrett
1410,Mike Gminski
1411,Darrell Griffith
1412,Bill Hanzlik
1413,Alan Hardy
1414,Mike Harper
1415,Cedrick Hordges
1416,Tony Jackson
1417,Lee Johnson
1418,Reggie Johnson
1419,Edgar Jones
1420,Walter Jordan
1421,Clarence Kea
1422,Chad Kinch
1423,Wayne Kreklow
1424,Bill Laimbeer
1425,Edmund Lawrence
1426,Ronnie Lester
1427,Kyle Macy
1428,Rick Mahorn
1429,Wes Matthews
1430,Bill Mayfield
1431,Keith McCord
1432,Kevin McHale
1433,Dick Miller
1434,Johnny Moore
1435,Lowes Moore
1436,Kenny Natt
1437,Carl Nicks
1438,Mike Niles
1439,Mike O'Koren
1440,Jawann Oldham
1441,Louis Orr
1442,Myles Patrick
1443,Tony Price
1444,Wally Rank
1445,Kelvin Ransey
1446,James Ray
1447,Billy Reid
1448,Wayne Robinson
1449,Lorenzo Romar
1450,DeWayne Scales
1451,Craig Shelton
1452,Jerry Sichting
1453,Larry Smith
1454,Rory Sparrow
1455,John Stroud
1456,Carlos Terry
1457,Andrew Toney
1458,Ronnie Valentine
1459,Kiki Vandeweghe
1460,Brett Vroman
1461,Hawkeye Whitney
1462,Michael Wiley
1463,James Wilkes
1464,Jeff Wilkins
1465,Mike Woodson
1466,Sam Worthen
1467,Mark Aguirre
1468,Danny Ainge
1469,Carl Bailey
1470,Gene Banks
1471,Rolando Blackman
1472,Ray Blume
1473,Alex Bradley
1474,Charles Bradley
1475,Brad Branson
1476,Jim Brogan
1477,Roger Burkman
1478,David Burns
1479,Bobby Cattage
1480,Tom Chambers
1481,Joe Cooper
1482,Charles Davis
1483,Kenny Dennard
1484,Mickey Dillard
1485,John Douglas
1486,Craig Dykema
1487,Franklin Edwards
1488,Pétur Guðmundsson
1489,Glenn Hagan
1490,Steve Hayes
1491,Tracy Jackson
1492,Clay Johnson
1493,Frank Johnson
1494,Steve Johnson
1495,Albert King
1496,Jeff Lamp
1497,Rock Lee
1498,Alton Lister
1499,Lewis Lloyd
1500,Kevin Loder
1501,Rudy Macklin
1502,John McCullough
1503,Hank McDowell
1504,Mike McGee
1505,Kevin McKenna
1506,Larry Nance
1507,Kurt Nimphius
1508,Mark Radford
1509,Ed Rains
1510,Kurt Rambis
1511,Jeff Ruland
1512,Danny Schayes
1513,Jim Smith
1514,Larry Spriggs
1515,Isiah Thomas
1516,Ray Tolbert
1517,Kelly Tripucka
1518,Elston Turner
1519,Darnell Valentine
1520,Pete Verhoeven
1521,Jay Vincent
1522,Danny Vranes
1523,Buck Williams
1524,Herb Williams
1525,Garry Witts
1526,Al Wood
1527,Howard Wood
1528,Orlando Woolridge
1529,Rich Yonakor
1530,Dwight Anderson
1531,J.J. Anderson
1532,Richard Anderson
1533,John Bagley
1534,Dave Batton
1535,Lester Conner
1536,Chubby Cox
1537,Terry Cummings
1538,Quintin Dailey
1539,Mark Eaton
1540,Jerry Eaves
1541,Keith Edmonson
1542,Chris Engler
1543,Bruce Flowers
1544,Sleepy Floyd
1545,Bill Garnett
1546,John Greig
1547,Scott Hastings
1548,Rod Higgins
1549,Craig Hodges
1550,Marc Iavaroni
1551,Jim Johnstone
1552,Hutch Jones
1553,Clark Kellogg
1554,Joe Kopicki
1555,Fat Lever
1556,Cliff Levingston
1557,Steve Lingenfelter
1558,Dave Magley
1559,Mark McNamara
1560,Guy Morgan
1561,Ed Nealy
1562,Chuck Nevitt
1563,Audie Norris
1564,Eddie Phillips
1565,Ricky Pierce
1566,Charles Pittman
1567,Paul Pressey
1568,Oliver Robinson
1569,Walker Russell
1570,Mike Sanders
1571,Russ Schoene
1572,Ed Sherod
1573,Jose Slaughter
1574,Derek Smith
1575,Brook Steppe
1576,Jeff Taylor
1577,Vince Taylor
1578,Terry Teagle
1579,David Thirdkill
1580,Corny Thompson
1581,LaSalle Thompson
1582,Darren Tillis
1583,Linton Townes
1584,Trent Tucker
1585,Bryan Warrick
1586,Rory White
1587,Dominique Wilkins
1588,Rickey Williams
1589,Rob Williams
1590,James Worthy
1591,Jim Zoet
1592,Ken Austin
1593,Thurl Bailey
1594,Randy Breuer
1595,Wallace Bryant
1596,Howard Carter
1597,Carlos Clark
1598,Leroy Combs
1599,Russell Cross
1600,Darren Daye
1601,Clyde Drexler
1602,Craig Ehlo
1603,Dale Ellis
1604,Rod Foster
1605,John Garris
1606,Mike Gibson
1607,Stewart Granger
1608,Sidney Green
1609,Bob Hansen
1610,Derek Harper
1611,Roy Hinson
1612,Charles Jones
1613,Mark Jones
1614,Greg Kite
1615,Bruce Kuczenski
1616,Darrell Lockhart
1617,Sidney Lowe
1618,Jeff Malone
1619,Pace Mannion
1620,Rodney McCray
1621,Scooter McCray
1622,Larry Micheaux
1623,Bob Miller
1624,John Paxson
1625,John Pinone
1626,Tom Piotrowski
1627,Leo Rautins
1628,Doc Rivers
1629,Fred Roberts
1630,Ralph Sampson
1631,Byron Scott
1632,Steve Stipanovich
1633,Jon Sundvold
1634,Dane Suttle
1635,Jim Thomas
1636,Paul Thompson
1637,Sedale Threatt
1638,Granville Waiters
1639,Darrell Walker
1640,Brant Weidner
1641,Mark West
1642,Ennis Whatley
1643,Mitchell Wiggins
1644,Kevin Williams
1645,Michael Wilson
1646,Randy Wittman
1647,Chuck Aleksinas
1648,Ron Anderson
1649,Ken Bannister
1650,Charles Barkley
1651,Cory Blackwell
1652,Sam Bowie
1653,Frank Brickowski
1654,Tony Brown
1655,Steve Burtt
1656,Michael Cage
1657,Tony Campbell
1658,Rick Carlisle
1659,Antoine Carr
1660,Ron Cavenall
1661,Steve Colter
1662,Devin Durrant
1663,Kenton Edelin
1664,Kenny Fields
1665,Vern Fleming
1666,Lancaster Gordon
1667,Butch Graves
1668,Stuart Gray
1669,Michael Holton
1670,Jay Humphries
1671,Ralph Jackson
1672,Earl Jones
1673,Ozell Jones
1674,Michael Jordan
1675,Jerome Kersey
1676,Tim McCormick
1677,Jay Murphy
1678,Hakeem Olajuwon
1679,Sam Perkins
1680,Jim Petersen
1681,Gary Plummer
1682,David Pope
1683,Alvin Robertson
1684,Wayne Sappleton
1685,Tom Scheffler
1686,John Schweitz
1687,Tom Sewell
1688,Charlie Sitton
1689,Tom Sluby
1690,Terence Stansbury
1691,John Stockton
1692,Peter Thibeaux
1693,Bernard Thompson
1694,Otis Thorpe
1695,Jeff Turner
1696,Melvin Turpin
1697,Willie White
1698,Eddie Lee Wilkins
1699,Dale Wilkinson
1700,Guy Williams
1701,Kevin Willis
1702,Othell Wilson
1703,Leon Wood
1704,Danny Young
1705,Michael Young
1706,Michael Adams
1707,John Battle
1708,Benoit Benjamin
1709,Uwe Blab
1710,Manute Bol
1711,Mike Brittain
1712,Terry Catledge
1713,Lorenzo Charles
1714,Fred Cofield
1715,David Cooke
1716,Tyrone Corbin
1717,Ron Crevier
1718,Jeff Cross
1719,Joe Dumars
1720,Patrick Ewing
1721,Georgi Glouchkov
1722,A.C. Green
1723,Ken Green
1724,Kenny Green
1725,Claude Gregory
1726,Steve Harris
1727,Jerome Henderson
1728,Carl Henry
1729,Alfredrick Hughes
1730,Ken Johnson
1731,Yvon Joseph
1732,Harold Keeling
1733,Joe Kleine
1734,Jon Koncak
1735,Keith Lee
1736,Karl Malone
1737,Bill Martin
1738,Brian Martin
1739,Dwayne McClain
1740,Xavier McDaniel
1741,Ben McDonald
1742,Chris McNealy
1743,Dirk Minniefield
1744,Perry Moss
1745,Chris Mullin
1746,Charles Oakley
1747,Michael Phelps
1748,Ed Pinckney
1749,Terry Porter
1750,Blair Rasmussen
1751,Jerry Reynolds
1752,Derrick Rowland
1753,Detlef Schrempf
1754,Carey Scurry
1755,Mike Smrek
1756,Alex Stivrins
1757,Greg Stokes
1758,Bob Thornton
1759,Wayman Tisdale
1760,Sedric Toney
1761,Nick Vanos
1762,Sam Vincent
1763,Spud Webb
1764,Bill Wennington
1765,Gerald Wilkins
1766,Pete Williams
1767,Voise Winters
1768,Rafael Addison
1769,Mark Alarie
1770,William Bedford
1771,Walter Berry
1772,Joe Binion
1773,Adrian Branch
1774,Mike Brown
1775,Ben Coleman
1776,Dell Curry
1777,Brad Daugherty
1778,Johnny Dawkins
1779,Bruce Douglas
1780,Greg Dreiling
1781,Kevin Duckworth
1782,Dave Feitl
1783,Kenny Gattison
1784,Grant Gondrezick
1785,Ron Harper
1786,Cedric Henderson
1787,Kevin Henderson
1788,Conner Henry
1789,Jeff Hornacek
1790,Myron Jackson
1791,Buck Johnson
1792,Steffond Johnson
1793,Anthony Jones
1794,Tim Kempton
1795,Curtis Kitchen
1796,Larry Krystkowiak
1797,Jim Lampley
1798,Fernando Martín
1799,Maurice Martin
1800,Forrest McKenzie
1801,Nate McMillan
1802,Cozell McQueen
1803,Pete Myers
1804,Johnny Newman
1805,Dennis Nutt
1806,Chuck Person
1807,Dwayne Polee
1808,Harold Pressley
1809,Mark Price
1810,Dennis Rodman
1811,Johnny Rogers
1812,Ron Rowan
1813,John Salley
1814,Brad Sellers
1815,McKinley Singleton
1816,Scott Skiles
1817,Clinton Smith
1818,Keith Smith
1819,Otis Smith
1820,Roy Tarpley
1821,Billy Thompson
1822,Andre Turner
1823,Kenny Walker
1824,Chris Washburn
1825,Pearl Washington
1826,Hot Rod Williams
1827,John Williams
1828,David Wingate
1829,Brad Wright
1830,Perry Young
1831,Mark Acres
1832,Steve Alford
1833,Greg Anderson
1834,Joe Arlauckas
1835,Vincent Askew
1836,Nate Blackwell
1837,Muggsy Bogues
1838,Norris Coleman
1839,Dallas Comegys
1840,Winston Crite
1841,Billy Donovan
1842,Chris Dudley
1843,Jim Farmer
1844,Tellis Frank
1845,Kevin Gamble
1846,Winston Garland
1847,Armen Gilliam
1848,Horace Grant
1849,Dave Henderson
1850,Dave Hoppen
1851,Dennis Hopson
1852,Eddie Hughes
1853,Mark Jackson
1854,Michael Jackson
1855,Kannard Johnson
1856,Kevin Johnson
1857,Bart Kofoed
1858,Ralph Lewis
1859,Reggie Lewis
1860,Brad Lohaus
1861,Derrick McKey
1862,Reggie Miller
1863,Andre Moore
1864,Ron Moore
1865,Ronnie Murphy
1866,Tod Murphy
1867,Martin Nessley
1868,Ken Norman
1869,Scottie Pippen
1870,Olden Polynice
1871,Richard Rellford
1872,Scott Roth
1873,Brian Rowsom
1874,Kenny Smith
1875,John Stroeder
1876,Mark Wade
1877,Milt Wagner
1878,Jamie Waller
1879,Duane Washington
1880,Chris Welp
1881,Clinton Wheeler
1882,Eric White
1883,Tony White
1884,Reggie Williams
1885,Nikita Wilson
1886,Ricky Wilson
1887,Rickie Winslow
1888,Joe Wolf
1889,Phil Zevenbergen
1890,Randy Allen
1891,Michael Anderson
1892,Willie Anderson
1893,Ricky Berry
1894,Anthony Bowie
1895,Scott Brooks
1896,Mark Bryant
1897,Greg Butler
1898,Mike Champion
1899,Rex Chapman
1900,Derrick Chievous
1901,Mark Davis
1902,Vinny Del Negro
1903,Fennis Dembo
1904,Ledell Eackles
1905,Kevin Edwards
1906,Wayne Englestad
1907,Rolando Ferreira
1908,Duane Ferrell
1909,Anthony Frederick
1910,Corey Gaines
1911,Tom Garrick
1912,Ben Gillery
1913,Orlando Graham
1914,Ron Grandison
1915,Gary Grant
1916,Harvey Grant
1917,Sylvester Gray
1918,Jeff Grayer
1919,Jack Haley
1920,Hersey Hawkins
1921,Tito Horford
1922,Avery Johnson
1923,Bill Jones
1924,Shelton Jones
1925,Steve Kerr
1926,Randolph Keys
1927,Jerome Lane
1928,Andrew Lang
1929,Eric Leckner
1930,Jim Les
1931,Rob Lock
1932,Grant Long
1933,Dan Majerle
1934,Danny Manning
1935,Vernon Maxwell
1936,Todd Mitchell
1937,Chris Morris
1938,Richard Morton
1939,Craig Neal
1940,José Ortiz
1941,Will Perdue
1942,Tim Perry
1943,Dave Popson
1944,Dominic Pressley
1945,Mitch Richmond
1946,Ramón Rivas
1947,David Rivers
1948,Rob Rose
1949,Jim Rowinski
1950,Rony Seikaly
1951,Charles Shackleford
1952,John Shasky
1953,Brian Shaw
1954,Keith Smart
1955,Charles Smith
1956,Rik Smits
1957,John Starks
1958,Everette Stephens
1959,Rod Strickland
1960,Barry Sumpter
1961,Anthony Taylor
1962,Tom Tolbert
1963,Kelvin Upshaw
1964,Morlon Wiley
1965,Micheal Williams
1966,David Wood
1967,Nick Anderson
1968,Michael Ansley
1969,B.J. Armstrong
1970,Dana Barros
1971,Kenny Battle
1972,Winston Bennett
1973,Mookie Blaylock
1974,Chucky Brown
1975,Raymond Brown
1976,Stanley Brundy
1977,Torgeir Bryn
1978,Steve Bucknall
1979,Adrian Caldwell
1980,Lanard Copeland
1981,Terry Davis
1982,Byron Dinkins
1983,Vlade Divac
1984,Sherman Douglas
1985,Terry Dozier
1986,Blue Edwards
1987,Jay Edwards
1988,Sean Elliott
1989,Pervis Ellison
1990,Derrick Gervin
1991,Greg Grant
1992,Scott Haffner
1993,Tom Hammonds
1994,Tim Hardaway
1995,Mike Higgins
1996,Ed Horton
1997,Byron Irvin
1998,Jaren Jackson
1999,Eric Johnson
2000,Nate Johnston
2001,Shawn Kemp
2002,Stan Kimbrough
2003,Stacey King
2004,Frank Kornet
2005,Jeff Lebo
2006,Tim Legler
2007,Gary Leonard
2008,Clifford Lett
2009,Todd Lichti
2010,Roy Marble
2011,Šarūnas Marčiulionis
2012,Jeff Martin
2013,Anthony Mason
2014,Bob McCann
2015,Mel McCants
2016,George McCloud
2017,Carlton McKinney
2018,Scott Meents
2019,Sam Mitchell
2020,Mike Morrison
2021,John Morton
2022,Dyron Nix
2023,Žarko Paspalj
2024,Kenny Payne
2025,Dražen Petrović
2026,Brian Quinnett
2027,J.R. Reid
2028,Glen Rice
2029,Pooh Richardson
2030,Clifford Robinson
2031,David Robinson
2032,Doug Roth
2033,Donald Royal
2034,Delaney Rudd
2035,Jeff Sanders
2036,Dexter Shouse
2037,Michael Smith
2038,Jay Taylor
2039,Leonard Taylor
2040,Henry Turner
2041,Gary Voce
2042,Alexander Volkov
2043,Doug West
2044,Randy White
2045,Mike Williams
2046,Haywoode Workman
2047,Alaa Abdelnaby
2048,Mahmoud Abdul-Rauf
2049,Keith Askins
2050,Miloš Babić
2051,Cedric Ball
2052,Lance Blanks
2053,Anthony Bonner
2054,Dee Brown
2055,Jud Buechler
2056,Matt Bullard
2057,Willie Burton
2058,Rick Calloway
2059,Elden Campbell
2060,Duane Causwell
2061,Cedric Ceballos
2062,Richard Coffey
2063,Derrick Coleman
2064,Bimbo Coles
2065,Anthony Cook
2066,Tony Dawson
2067,Mario Elie
2068,A.J. English
2069,Danny Ferry
2070,Greg Foster
2071,Tate George
2072,Kendall Gill
2073,Gerald Glass
2074,Dan Godfread
2075,Jim Grandholm
2076,Tony Harris
2077,Steve Henson
2078,Sean Higgins
2079,Tyrone Hill
2080,Dave Jamerson
2081,Henry James
2082,Les Jepsen
2083,Alec Kessler
2084,Bo Kimble
2085,Negele Knight
2086,Kurk Lee
2087,Marcus Liberty
2088,Ian Lockhart
2089,Tony Massenburg
2090,Travis Mays
2091,Terry Mills
2092,Chris Munk
2093,Jerrod Mustaf
2094,Dan O'Sullivan
2095,Alan Ogg
2096,Brian Oliver
2097,Gerald Paddio
2098,Walter Palmer
2099,Gary Payton
2100,Kevin Pritchard
2101,Larry Robinson
2102,Rumeal Robinson
2103,Steve Scheffler
2104,Dwayne Schintzius
2105,Dennis Scott
2106,Lionel Simmons
2107,Tony Smith
2108,Felton Spencer
2109,Irving Thomas
2110,Andy Toolson
2111,Loy Vaught
2112,Stojko Vranković
2113,Jayson Williams
2114,Kenny Williams
2115,Scott Williams
2116,Trevor Wilson
2117,Kennard Winchester
2118,Howard Wright
2119,A.J. Wynder
2120,Victor Alexander
2121,Kenny Anderson
2122,Greg Anthony
2123,Stacey Augmon
2124,Isaac Austin
2125,Steve Bardo
2126,David Benoit
2127,Terrell Brandon
2128,Kevin Brooks
2129,Myron Brown
2130,Randy Brown
2131,Demetrius Calip
2132,Pete Chilcutt
2133,Marty Conlon
2134,Tom Copa
2135,Chris Corchiani
2136,Corey Crowder
2137,Dale Davis
2138,Bison Dele
2139,Patrick Eddie
2140,LeRon Ellis
2141,Rick Fox
2142,Chris Gatling
2143,Paul Graham
2144,Sean Green
2145,Carl Herrera
2146,Donald Hodge
2147,Brian Howard
2148,Cedric Hunter
2149,Mike Iuzzolino
2150,Rich King
2151,Doug Lee
2152,Luc Longley
2153,Kevin Lynch
2154,Mark Macon
2155,Tharon Mayes
2156,Rodney Monroe
2157,Tracy Moore
2158,Eric Murdock
2159,Dikembe Mutombo
2160,Jimmy Oliver
2161,Billy Owens
2162,Keith Owens
2163,Robert Pack
2164,Elliot Perry
2165,Bobby Phills
2166,Mark Randall
2167,Stanley Roberts
2168,Doug Smith
2169,LaBradford Smith
2170,Steve Smith
2171,Larry Stewart
2172,Derek Strong
2173,Lamont Strothers
2174,Greg Sutton
2175,Carl Thomas
2176,Charles Thomas
2177,Stephen Thompson
2178,John Turner
2179,João Vianna
2180,Eric Anderson
2181,Anthony Avent
2182,Jon Barry
2183,Tony Bennett
2184,Alex Blackwell
2185,Ricky Blanton
2186,Walter Bond
2187,Dexter Cambridge
2188,Doug Christie
2189,Duane Cooper
2190,Joe Courtney
2191,John Crotty
2192,Radisav Ćurčić
2193,Lloyd Daniels
2194,Hubert Davis
2195,Todd Day
2196,Richard Dumas
2197,Pat Durham
2198,LaPhonso Ellis
2199,Jo Jo English
2200,Matt Geiger
2201,Litterial Green
2202,Tom Gugliotta
2203,Jay Guidinger
2204,Robert Horry
2205,Byron Houston
2206,Stephen Howard
2207,Jim Jackson
2208,Keith Jennings
2209,Dave Johnson
2210,Thomas Jordan
2211,Adam Keefe
2212,Christian Laettner
2213,Sam Mack
2214,Don MacLean
2215,Marlon Maxey
2216,Lee Mayberry
2217,Oliver Miller
2218,Harold Miner
2219,Isaiah Morris
2220,Alonzo Mourning
2221,Tracy Murray
2222,Melvin Newbern
2223,Shaquille O'Neal
2224,Matt Othick
2225,Doug Overton
2226,Anthony Peeler
2227,Brent Price
2228,Anthony Pullard
2229,Sean Rooks
2230,Malik Sealy
2231,Chris Smith
2232,Reggie Smith
2233,Andre Spencer
2234,Elmore Spencer
2235,Latrell Sprewell
2236,Barry Stevens
2237,Bryant Stith
2238,Gundars Vētra
2239,Clarence Weatherspoon
2240,Marcus Webb
2241,Robert Werdann
2242,Corey Williams
2243,Lorenzo Williams
2244,Walt Williams
2245,Randy Woods
2246,Gary Alexander
2247,Vin Baker
2248,Corie Blount
2249,Shawn Bradley
2250,P.J. Brown
2251,Evers Burns
2252,Scott Burrell
2253,Mitchell Butler
2254,Sam Cassell
2255,Calbert Cheaney
2256,Michael Curry
2257,Antonio Davis
2258,Brian Davis
2259,Terry Dehere
2260,Dell Demps
2261,Acie Earl
2262,Bill Edwards
2263,Doug Edwards
2264,Harold Ellis
2265,Alphonso Ford
2266,Chad Gallagher
2267,Andrew Gaze
2268,Ricky Grace
2269,Greg Graham
2270,Josh Grant
2271,Andrés Guibert
2272,Geert Hammink
2273,Anfernee Hardaway
2274,Lucious Harris
2275,Antonio Harvey
2276,Scott Haskin
2277,Skeeter Henry
2278,Allan Houston
2279,Lindsey Hunter
2280,Bobby Hurley
2281,Stanley Jackson
2282,Chris Jent
2283,Ervin Johnson
2284,Popeye Jones
2285,Adonis Jordan
2286,Reggie Jordan
2287,Warren Kidd
2288,Chris King
2289,Toni Kukoč
2290,George Lynch
2291,Malcolm Mackey
2292,Gerald Madkins
2293,Bob Martin
2294,Jamal Mashburn
2295,Darnell Mee
2296,Chris Mills
2297,Darren Morningstar
2298,Gheorghe Mureșan
2299,Bo Outlaw
2300,Mike Peplowski
2301,Richard Petruška
2302,Dino Radja
2303,Isaiah Rider
2304,Eric Riley
2305,James Robinson
2306,Rodney Rogers
2307,Bryon Russell
2308,Kevin Thompson
2309,Keith Tower
2310,Nick Van Exel
2311,Rex Walters
2312,Chris Webber
2313,Matt Wenstrom
2314,David Wesley
2315,Chris Whitney
2316,Aaron Williams
2317,Luther Wright
2318,Derrick Alston
2319,Darrell Armstrong
2320,Sergei Bazarevich
2321,Elmer Bennett
2322,James Blackwell
2323,Tim Breaux
2324,Chris Childs
2325,Bill Curley
2326,Yinka Dare
2327,Tony Dumas
2328,Howard Eisley
2329,Matt Fish
2330,Brian Grant
2331,Darrin Hancock
2332,Jerome Harmon
2333,Grant Hill
2334,Tom Hovasse
2335,Juwan Howard
2336,Askia Jones
2337,Eddie Jones
2338,Jason Kidd
2339,Antonio Lang
2340,Ryan Lorthridge
2341,Donyell Marshall
2342,Darrick Martin
2343,Jim McIlvaine
2344,Aaron McKie
2345,Anthony Miller
2346,Greg Minor
2347,Eric Mobley
2348,Eric Montross
2349,Dwayne Morton
2350,Lamond Murray
2351,Ivano Newbill
2352,Julius Nwosu
2353,Wesley Person
2354,Derrick Phelps
2355,Eric Piatkowski
2356,Eldridge Recasner
2357,Khalid Reeves
2358,Glenn Robinson
2359,Carlos Rogers
2360,Jalen Rose
2361,Clifford Rozier
2362,Trevor Ruffin
2363,Dickey Simpkins
2364,Reggie Slater
2365,Mark Strickland
2366,Aaron Swinson
2367,Žan Tabak
2368,Brooks Thompson
2369,Anthony Tucker
2370,B.J. Tyler
2371,Fred Vinson
2372,Charlie Ward
2373,Jamie Watson
2374,Monty Williams
2375,Dontonio Wingfield
2376,Sharone Wright
2377,Cory Alexander
2378,Jerome Allen
2379,John Amaechi
2380,Ashraf Amaya
2381,Brent Barry
2382,Corey Beck
2383,Mario Bennett
2384,Travis Best
2385,Melvin Booker
2386,Donnie Boyce
2387,Marques Bragg
2388,Junior Burrough
2389,Jason Caffey
2390,Chris Carr
2391,Randolph Childress
2392,Robert Churchwell
2393,Charles Claxton
2394,John Coker
2395,Rastko Cvetković
2396,Sasha Danilović
2397,Andrew DeClercq
2398,Tyus Edney
2399,Vincenzo Esposito
2400,Michael Finley
2401,Sherell Ford
2402,Kevin Garnett
2403,Anthony Goldwire
2404,Thomas Hamilton
2405,Alvin Heggs
2406,Alan Henderson
2407,Fred Hoiberg
2408,Darryl Johnson
2409,Frankie King
2410,Jimmy King
2411,Voshon Lenard
2412,Cedric Lewis
2413,Martin Lewis
2414,Rich Manning
2415,Donny Marshall
2416,Cuonzo Martin
2417,Clint McDaniel
2418,Antonio McDyess
2419,Loren Meyer
2420,Lawrence Moten
2421,Todd Mundt
2422,Howard Nathan
2423,Ed O'Bannon
2424,Greg Ostertag
2425,Cherokee Parks
2426,Theo Ratliff
2427,Bryant Reeves
2428,Don Reid
2429,Terrence Rencher
2430,Shawn Respert
2431,Lou Roe
2432,Stefano Rusconi
2433,Arvydas Sabonis
2434,Joe Smith
2435,Eric Snow
2436,Jerry Stackhouse
2437,Damon Stoudamire
2438,Bob Sura
2439,Larry Sykes
2440,Kurt Thomas
2441,Gary Trent
2442,Logan Vander Velden
2443,David Vaughn
2444,Rasheed Wallace
2445,Jeff Webster
2446,Dwayne Whitfield
2447,Eric Williams
2448,Corliss Williamson
2449,George Zídek
2450,Shareef Abdur-Rahim
2451,Ray Allen
2452,Shandon Anderson
2453,Dexter Boney
2454,Bruce Bowen
2455,Mark Bradtke
2456,Marcus Brown
2457,Kobe Bryant
2458,Marcus Camby
2459,Jimmy Carruth
2460,Erick Dampier
2461,Ben Davis
2462,Emanual Davis
2463,Tony Delk
2464,Nate Driggers
2465,Brian Evans
2466,Jamie Feick
2467,Derek Fisher
2468,Todd Fuller
2469,Dean Garrett
2470,Reggie Geary
2471,Devin Gray
2472,Evric Gray
2473,Darvin Ham
2474,Steve Hamer
2475,Othella Harrington
2476,Michael Hawkins
2477,Shane Heal
2478,Mark Hendrickson
2479,Allen Iverson
2480,Kerry Kittles
2481,Travis Knight
2482,Priest Lauderdale
2483,Randy Livingston
2484,Horacio Llamas
2485,Matt Maloney
2486,Stephon Marbury
2487,Walter McCarty
2488,Amal McCaskill
2489,Jeff McInnis
2490,Martin Müürsepp
2491,Steve Nash
2492,Ruben Nembhard
2493,Gaylon Nickerson
2494,Moochie Norris
2495,Jermaine O'Neal
2496,Ray Owes
2497,Vitaly Potapenko
2498,Chris Robinson
2499,Roy Rogers
2500,Malik Rose
2501,Kevin Salvadori
2502,Jason Sasser
2503,Brent Scott
2504,James Scott
2505,Shawnelle Scott
2506,Stevin Smith
2507,Matt Steigenga
2508,Joe Stephens
2509,Erick Strickland
2510,Brett Szabo
2511,Antoine Walker
2512,Samaki Walker
2513,Ben Wallace
2514,John Wallace
2515,Donald Whiteside
2516,Jerome Williams
2517,Lorenzen Wright
2518,Aleksandar Djordjevic
2519,Tariq Abdul-Wahad
2520,Derek Anderson
2521,Chris Anstey
2522,Drew Barry
2523,Tony Battie
2524,Chauncey Billups
2525,Etdrick Bohannon
2526,Keith Booth
2527,Rick Brunson
2528,Kelvin Cato
2529,Keith Closs
2530,James Collins
2531,James Cotton
2532,Chris Crawford
2533,Austin Croshere
2534,William Cunningham
2535,Antonio Daniels
2536,Tim Duncan
2537,Tony Farmer
2538,Danny Fortson
2539,Adonal Foyle
2540,Lawrence Funderburke
2541,Chris Garner
2542,Kiwane Lemorris Garris
2543,Ed Gray
2544,Derek Grimm
2545,Reggie Hanson
2546,Jerald Honeycutt
2547,Troy Hudson
2548,Zydrunas Ilgauskas
2549,Bobby Jackson
2550,Anthony Johnson
2551,Dontae' Jones
2552,Brevin Knight
2553,Rusty LaRue
2554,Jason Lawson
2555,Michael McDonald
2556,Tracy McGrady
2557,Ron Mercer
2558,Marko Milič
2559,Jeff Nordgaard
2560,Charles O'Bannon
2561,Kevin Ollie
2562,Anthony Parker
2563,Scot Pollard
2564,Mark Pope
2565,Rodrick Rhodes
2566,Shea Seals
2567,God Shammgod
2568,Kebu Stewart
2569,Michael Stewart
2570,Ed Stokes
2571,Johnny Taylor
2572,Maurice Taylor
2573,John Thomas
2574,Tim Thomas
2575,Keith Van Horn
2576,Jacque Vaughn
2577,Eric Washington
2578,Bubba Wells
2579,DeJuan Wheat
2580,Alvin Williams
2581,Brandon Williams
2582,Travis Williams
2583,Peter Aluma
2584,Toby Bailey
2585,Mark Baker
2586,Corey Benjamin
2587,Mike Bibby
2588,Earl Boykins
2589,Gerald Brown
2590,Cory Carr
2591,Vince Carter
2592,Keon Clark
2593,Kornél Dávid
2594,Ricky Davis
2595,Michael Dickerson
2596,Michael Doleac
2597,Bryce Drew
2598,Marlon Garnett
2599,Pat Garrity
2600,Paul Grant
2601,Matt Harpring
2602,Al Harrington
2603,J.R. Henderson
2604,Larry Hughes
2605,Randell Jackson
2606,Sam Jacobson
2607,Jerome James
2608,Antawn Jamison
2609,Damon Jones
