,0
603,Reggie Harding
604,Jerry Harkness
605,Art Heyman
606,Gary Hill
607,Tom Hoover
608,Gus Johnson
609,Jim King
610,Don Kojis
611,Jerry Lucas
612,Eddie Miles
613,Mel Peterson
614,Ken Rohloff
615,Larry Siegfried
616,Roger Strickland
617,Tom Thacker
618,Rod Thorn
619,Nate Thurmond
620,Gerry Ward
621,John Windsor
622,Jim Barnes
623,Ron Bonham
624,Gary Bradds
625,Em Bryant
626,Joe Caldwell
627,Mel Counts
628,Steve Courtin
629,Jerry Grote
630,Happy Hairston
631,Walt Hazzard
632,Les Hunter
633,Luke Jackson
634,Larry Jones
635,Wali Jones
636,Howard Komives
637,Bud Koper
638,Barry Kramer
639,McCoy McLemore
640,Jeff Mullins
641,Cotton Nash
642,Willis Reed
643,Paul Silas
644,John Thompson
645,John Tresvant
646,George Wilson
647,Rick Barry
648,Jesse Branson
649,Bill Buntin
650,Barry Clemens
651,Billy Cunningham
652,Keith Erickson
653,John Fairchild
654,Will Frazier
655,Gail Goodrich
656,Fred Hetzel
657,Jon McGlocklin
658,Thales McReynolds
659,Ron Reed
660,Jerry Sloan
661,Willie Somerset
662,Dave Stallworth
663,Joe Strawder
664,Dick Van Arsdale
665,Tom Van Arsdale
666,Bob Warlick
667,Jim Washington
668,Ron Watts
669,Bob Weiss
670,Henry Akin
671,Johnny Austin
672,Jim Barnett
673,Dave Bing
674,John Block
675,Nate Bowman
676,Jerry Chambers
677,Archie Clark
678,Freddie Crawford
679,Dave Deutsch
680,Joe Ellis
681,Hank Finkel
682,Matt Guokas
683,Bob Hogsett
684,Lou Hudson
685,Neil Johnson
686,Toby Kimball
687,Tommy Kron
688,Clyde Lee
689,Bob Love
690,Jack Marin
691,Bill Melchionni
692,Wayne Molis
693,Erwin Mueller
694,Dorie Murrey
695,Flynn Robinson
696,Cazzie Russell
697,Dave Schellhase
698,Dick Snyder
699,Jim Ware
700,Walt Wesley
701,Bud Acton
702,Cliff Anderson
703,Bill Bradley
704,Tyrone Britt
705,Jim Burns
706,Jim Caldwell
707,George Carter
708,Jim Davis
709,Bill Dinwiddie
710,Sonny Dove
711,Ron Filipek
712,Jim Fox
713,Walt Frazier
714,Mal Graham
715,Gary Gray
716,Dennis Hamilton
717,Clem Haskins
718,Al Jackson
719,Phil Jackson
720,Johnny Jones
721,Nick Jones
722,Dave Lattin
723,George Lehmann
724,Bobby Lewis
725,Paul Long
726,Plummer Lott
727,Ed Manning
728,Stan McKenzie
729,Jay Miller
730,Earl Monroe
731,George Patterson
732,Jim Reid
733,Pat Riley
734,Bob Rule
735,Craig Spitzer
736,Al Tucker
737,Bill Turner
738,Jimmy Walker
739,Rick Weitzman
740,Roland West
741,John Wetzel
742,Ken Wilburn
743,Art Williams
744,Tom Workman
745,Zaid Abdul-Aziz
746,Rick Adelman
747,Bob Allen
748,Harry Barnes
749,Ed Biedenbach
750,Tom Boerwinkle
751,Jay Carty
752,Don Chaney
753,Dick Cunningham
754,Fred Foster
755,Pat Frink
756,Gary Gregor
757,Al Hairston
758,Shaler Halimon
759,Skip Harlicka
760,Art Harris
761,Elvin Hayes
762,Bill Hewitt
763,Bill Hosket
764,Rich Johnson
765,Bob Kauffman
766,Joe Kennedy
767,Rod Knowles
768,Stu Lantz
769,Don May
770,Otto Moore
771,Dave Newmark
772,Rich Niemann
773,Barry Orms
774,Charlie Paulk
775,Loy Petersen
776,Bob Quick
777,Craig Raymond
778,Mike Riordan
779,Dale Schlueter
780,Doug Sims
781,Greg Smith
782,John Trapp
783,Wes Unseld
784,Dwight Waller
785,Cliff Williams
786,Ron Williams
787,Sam Williams
788,Kareem Abdul-Jabbar
789,Lucius Allen
790,Wally Anderzunas
791,John Arthurs
792,Johnny Baum
793,Butch Beard
794,Fred Carter
795,Bob Dandridge
796,Mike Davis
797,Dick Garrett
798,Herm Gilliam
799,Bob Greacen
800,Lamar Green
801,Connie Hawkins
802,Brian Heaney
803,Steve Kuberski
804,Mike Lynn
805,Willie McCarter
806,Steve Mix
807,Grady O'Malley
808,Bud Ogden
809,Bob Portman
810,Luther Rackley
811,George Reynolds
812,Rick Roberson
813,Dave Scholz
814,Bingo Smith
815,Norm Van Lier
816,Neal Walk
817,John Warren
818,Jo Jo White
819,Bernie Williams
820,Lee Winfield
